pair_id,style,ref_path,search_path,gt_x,gt_y,pitch,scale,noise_sigma_ref,noise_sigma_search,rotation_deg,blur_ref,blur_search,dose_ref,dose_search,charging_intensity,salt_pepper_prob,gamma_ref,gamma_search,classical_pred_x,classical_pred_y,classical_error_px,classical_time_sec,classical_confident,classical_n_candidates,dl_pred_x,dl_pred_y,dl_error_px,dl_time_sec,dl_confident
175,finfet,data/train_canonical/ref_0175.png,data/train_canonical/search_0175.png,529.46,538.61,21,10.6,7.66,12.32,-2.85,0.36,0.61,412.3,143.7,0.0,0.0027,0.906,1.102,529.5,538.5,0.11704699910719664,0.15561842918395996,True,4,532.0,540.0,2.895461966595275,0.04669046401977539,True
176,finfet,data/train_canonical/ref_0176.png,data/train_canonical/search_0176.png,404.84,496.86,23,10.639,7.64,12.3,0.21,0.38,0.85,572.4,179.5,0.636,0.001,1.011,0.953,404.5,496.5,0.49517673612559066,0.19634199142456055,True,4,412.0,500.0,7.818260676135088,0.03921866416931152,True
177,finfet,data/train_canonical/ref_0177.png,data/train_canonical/search_0177.png,520.67,607.52,25,10.064,6.24,17.72,0.13,0.26,0.69,542.5,165.8,0.0,0.0,0.978,1.102,521.0,476.0,131.5204140048228,0.18826675415039062,True,9,524.0,420.0,187.54956491551772,0.0419921875,True
178,finfet,data/train_canonical/ref_0178.png,data/train_canonical/search_0178.png,598.08,575.43,29,9.76,5.94,17.68,-0.75,0.46,0.77,546.6,129.1,0.0,0.0,1.031,1.111,598.0,502.0,73.43004357890572,0.18738579750061035,True,10,596.0,580.0,5.021085540000352,0.03973531723022461,True
179,dram,data/train_canonical/ref_0179.png,data/train_canonical/search_0179.png,384.26,602.86,36,10.974,7.99,10.24,-2.54,0.52,0.51,368.2,134.2,0.544,0.0,1.0,0.867,515.5,602.5,131.24049375097613,0.20055341720581055,False,7,388.0,604.0,3.9098849087920784,0.05183219909667969,True
180,dram,data/train_canonical/ref_0180.png,data/train_canonical/search_0180.png,615.37,547.28,40,9.076,7.34,10.06,2.63,0.34,0.76,568.3,92.4,0.0,0.0029,1.019,0.99,593.5,547.5,21.871106510645507,0.20450901985168457,True,7,612.0,548.0,3.4460557163226584,0.04629683494567871,True
181,finfet,data/train_canonical/ref_0181.png,data/train_canonical/search_0181.png,415.58,420.97,27,10.754,4.83,16.12,0.34,0.28,0.75,344.9,164.1,0.0,0.0,1.05,0.906,415.5,493.5,72.53004411966117,0.19467782974243164,True,9,412.0,420.0,3.7090834447340137,0.04033350944519043,True
182,dram,data/train_canonical/ref_0182.png,data/train_canonical/search_0182.png,569.56,393.33,35,9.715,5.94,11.45,1.24,0.5,0.59,562.2,101.1,0.39,0.0,1.064,0.887,569.5,533.5,140.17001284154898,0.20717954635620117,True,5,572.0,396.0,3.6169738732814136,0.046004295349121094,True
183,dram,data/train_canonical/ref_0183.png,data/train_canonical/search_0183.png,599.59,563.42,43,9.982,5.63,17.81,-0.28,0.3,0.42,368.5,157.6,0.515,0.0,0.908,1.148,600.0,563.0,0.5869412236331161,0.19588065147399902,True,7,604.0,564.0,4.447977068286185,0.04358696937561035,True
184,finfet,data/train_canonical/ref_0184.png,data/train_canonical/search_0184.png,493.21,434.73,22,10.86,5.02,15.26,-2.15,0.53,0.88,585.4,109.0,0.0,0.0,0.944,0.93,493.5,493.5,58.770715496750576,0.20157098770141602,True,6,500.0,436.0,6.907749271651385,0.05031394958496094,True
185,dram,data/train_canonical/ref_0185.png,data/train_canonical/search_0185.png,587.63,581.81,41,9.28,7.25,16.18,-0.14,0.25,0.84,356.4,192.8,0.0,0.0,0.932,1.01,587.5,582.5,0.7021395872617311,0.21389150619506836,True,3,588.0,580.0,1.847430648224665,0.04813408851623535,True
186,dram,data/train_canonical/ref_0186.png,data/train_canonical/search_0186.png,479.84,464.76,45,10.012,6.14,15.85,0.79,0.52,0.71,535.1,128.4,0.0,0.0012,1.034,0.948,480.0,465.0,0.2884441020371406,0.19878101348876953,True,6,484.0,468.0,5.272873979150295,0.04440474510192871,True
187,finfet,data/train_canonical/ref_0187.png,data/train_canonical/search_0187.png,527.24,378.86,27,10.513,6.87,13.24,-2.83,0.34,0.89,372.6,124.1,0.0,0.0,0.903,0.994,527.5,519.5,140.640240329715,0.20450496673583984,False,10,532.0,380.0,4.8946092796054606,0.04975318908691406,True
188,dram,data/train_canonical/ref_0188.png,data/train_canonical/search_0188.png,537.4,551.31,39,9.269,4.24,14.16,1.48,0.44,0.81,591.1,154.2,0.327,0.0015,0.961,1.025,537.5,551.5,0.21470910553589775,0.19567275047302246,True,2,540.0,556.0,5.362471445145478,0.04557371139526367,True
189,dram,data/train_canonical/ref_0189.png,data/train_canonical/search_0189.png,428.86,580.53,40,10.206,5.09,14.3,0.93,0.24,0.64,434.6,189.2,0.0,0.0,0.977,0.989,429.0,580.0,0.5481788029465999,0.19568896293640137,True,8,428.0,580.0,1.0101980003939794,0.0505373477935791,True
190,dram,data/train_canonical/ref_0190.png,data/train_canonical/search_0190.png,455.05,562.81,45,9.548,6.68,16.1,1.15,0.49,0.69,357.9,82.3,0.0,0.0,0.906,1.007,455.5,562.5,0.5464430436925297,0.19231295585632324,True,4,460.0,564.0,5.091031329701283,0.050164222717285156,True
191,finfet,data/train_canonical/ref_0191.png,data/train_canonical/search_0191.png,530.7,534.59,30,9.25,6.12,10.47,-1.28,0.57,0.58,396.6,185.8,0.0,0.0,0.902,1.062,531.5,534.5,0.8050465825031078,0.18995904922485352,True,4,532.0,540.0,5.564000359453577,0.039740800857543945,True
192,dram,data/train_canonical/ref_0192.png,data/train_canonical/search_0192.png,561.03,561.67,36,9.49,5.31,13.36,-1.72,0.4,0.76,534.1,115.0,0.0,0.0006,1.046,0.928,561.5,561.5,0.4997999599840037,0.21297574043273926,True,4,564.0,564.0,3.77489072689533,0.043956756591796875,True
193,finfet,data/train_canonical/ref_0193.png,data/train_canonical/search_0193.png,521.06,549.6,23,10.195,7.89,13.43,-0.91,0.43,0.67,346.9,142.9,0.0,0.0,0.935,1.049,521.0,524.0,25.600070312403464,0.19544124603271484,False,6,524.0,548.0,3.347177915797186,0.04472470283508301,True
194,dram,data/train_canonical/ref_0194.png,data/train_canonical/search_0194.png,456.82,455.28,35,9.093,7.97,14.28,-1.67,0.22,0.84,498.2,177.6,0.0,0.0,1.088,1.081,456.5,455.5,0.3883297567789618,0.21142292022705078,True,2,460.0,460.0,5.691291593302903,0.04648089408874512,True
195,dram,data/train_canonical/ref_0195.png,data/train_canonical/search_0195.png,439.5,395.47,45,10.039,7.91,14.35,2.69,0.51,0.79,359.1,89.5,0.41,0.0,0.963,0.863,439.0,490.0,94.53132232228636,0.21249866485595703,True,5,444.0,396.0,4.531103618325227,0.054770708084106445,True
196,finfet,data/train_canonical/ref_0196.png,data/train_canonical/search_0196.png,441.19,608.96,27,9.513,6.19,16.46,2.3,0.28,0.45,465.1,191.7,0.0,0.0,0.909,0.867,441.5,477.5,131.46036550991332,0.17211198806762695,True,10,436.0,612.0,6.014790104400963,0.05534648895263672,True
197,dram,data/train_canonical/ref_0197.png,data/train_canonical/search_0197.png,429.24,596.26,41,10.723,7.55,10.29,2.47,0.51,0.41,390.7,110.5,0.776,0.0,0.956,0.873,429.5,596.5,0.3538361202590822,0.1601111888885498,True,7,436.0,596.0,6.764998152253988,0.04694652557373047,True
198,finfet,data/train_canonical/ref_0198.png,data/train_canonical/search_0198.png,576.37,410.7,24,9.301,4.53,13.78,2.72,0.48,0.74,373.8,126.8,0.0,0.0,0.995,0.958,576.5,410.5,0.23853720883751925,0.20116686820983887,True,9,572.0,412.0,4.55926529168901,0.04725384712219238,True
199,dram,data/train_canonical/ref_0199.png,data/train_canonical/search_0199.png,584.46,432.3,40,10.548,6.19,14.51,1.14,0.57,0.68,414.3,98.2,0.596,0.0,1.036,1.08,584.5,432.5,0.20396078054369313,0.2017369270324707,True,3,588.0,436.0,5.120703076726834,0.05916094779968262,True
200,dram,data/train_canonical/ref_0200.png,data/train_canonical/search_0200.png,465.4,595.04,43,9.125,6.69,12.95,0.27,0.38,0.4,385.9,131.5,0.349,0.0,1.063,1.122,465.5,538.5,56.54008843289862,0.19259095191955566,False,13,468.0,436.0,159.06125109529344,0.0425567626953125,True
201,finfet,data/train_canonical/ref_0201.png,data/train_canonical/search_0201.png,397.92,576.0,25,9.266,5.2,17.6,-0.84,0.56,0.55,416.1,146.0,0.0,0.0,1.019,1.016,534.5,505.5,153.70213531372943,0.2145557403564453,False,8,404.0,748.0,172.10742691702762,0.040871381759643555,True
202,finfet,data/train_canonical/ref_0202.png,data/train_canonical/search_0202.png,568.19,548.55,25,9.47,6.52,14.11,3.0,0.32,0.58,444.9,115.1,0.0,0.0025,0.948,1.062,568.5,548.5,0.31400636936209053,0.221299409866333,True,9,572.0,548.0,3.8494934731727413,0.0420074462890625,True
203,dram,data/train_canonical/ref_0203.png,data/train_canonical/search_0203.png,480.98,598.61,38,9.93,6.56,11.26,1.02,0.21,0.44,374.1,179.2,0.0,0.0,0.918,1.05,481.0,526.0,72.6100027544415,0.17288994789123535,False,4,484.0,596.0,3.9915535822534016,0.04360675811767578,True
204,dram,data/train_canonical/ref_0204.png,data/train_canonical/search_0204.png,408.2,503.11,37,9.008,4.15,15.41,0.81,0.55,0.86,358.8,116.3,0.0,0.0018,0.921,0.938,408.5,503.5,0.4920365840056979,0.20708155632019043,True,7,412.0,508.0,6.192907233279048,0.04428744316101074,True
205,dram,data/train_canonical/ref_0205.png,data/train_canonical/search_0205.png,583.46,484.53,37,9.541,4.7,14.99,-1.1,0.59,0.69,526.4,112.9,0.0,0.0,1.003,0.876,583.5,484.5,0.049999999999954525,0.20604157447814941,True,3,580.0,492.0,8.232405480781463,0.04416322708129883,True
206,finfet,data/train_canonical/ref_0206.png,data/train_canonical/search_0206.png,587.86,514.49,29,10.045,7.99,12.35,-2.03,0.54,0.55,451.8,123.9,0.0,0.0,1.078,1.058,588.0,514.0,0.5096076922496413,0.23305630683898926,True,8,588.0,516.0,1.5164761785138494,0.04405522346496582,True
207,dram,data/train_canonical/ref_0207.png,data/train_canonical/search_0207.png,397.57,614.9,37,10.919,7.1,14.58,0.54,0.49,0.83,579.2,109.3,0.0,0.0,1.061,0.998,397.5,489.5,125.40001953747851,0.21341300010681152,False,11,724.0,620.0,326.4698376573248,0.044269561767578125,True
208,dram,data/train_canonical/ref_0208.png,data/train_canonical/search_0208.png,486.36,484.13,41,9.871,6.36,11.59,1.35,0.4,0.55,599.2,165.8,0.63,0.0,0.949,0.875,486.0,484.0,0.382753184180104,0.19550275802612305,True,4,492.0,484.0,5.641498028006377,0.044565439224243164,True
209,finfet,data/train_canonical/ref_0209.png,data/train_canonical/search_0209.png,496.46,380.0,24,9.437,4.14,16.32,2.61,0.37,0.74,355.5,160.7,0.0,0.0,0.916,0.928,496.5,527.5,147.5000054237287,0.20725178718566895,False,10,500.0,380.0,3.5400000000000205,0.04578042030334473,True
210,dram,data/train_canonical/ref_0210.png,data/train_canonical/search_0210.png,470.03,418.18,45,10.703,6.37,11.96,2.67,0.48,0.53,482.1,170.2,0.703,0.0,1.01,0.987,469.5,418.5,0.6191122676865374,0.19149231910705566,True,2,468.0,420.0,2.7264078931810376,0.04959607124328613,True
211,dram,data/train_canonical/ref_0211.png,data/train_canonical/search_0211.png,473.19,428.08,42,10.243,6.21,10.98,1.45,0.58,0.74,454.7,164.2,0.0,0.0,1.019,0.915,473.0,555.0,126.9201422154892,0.19719505310058594,False,6,476.0,556.0,127.95085970793633,0.0457763671875,True
212,dram,data/train_canonical/ref_0212.png,data/train_canonical/search_0212.png,572.41,523.87,36,9.6,7.21,13.61,2.51,0.41,0.83,371.6,190.5,0.0,0.0,1.004,1.087,572.5,523.5,0.3807886552932074,0.16753816604614258,False,6,572.0,524.0,0.4301162633520996,0.05021071434020996,True
213,finfet,data/train_canonical/ref_0213.png,data/train_canonical/search_0213.png,456.06,517.28,20,10.83,4.85,14.58,3.0,0.33,0.73,573.9,141.5,0.391,0.0,0.908,0.867,456.5,517.5,0.4919349550499639,0.1945333480834961,True,10,460.0,748.0,230.7536391912379,0.04930710792541504,True
214,dram,data/train_canonical/ref_0214.png,data/train_canonical/search_0214.png,519.86,548.82,40,9.737,4.05,11.51,-1.17,0.32,0.74,533.6,105.0,0.0,0.0,1.074,0.878,520.5,548.5,0.7155417527999429,0.19309568405151367,True,3,524.0,548.0,4.220426518730064,0.04775691032409668,True
215,dram,data/train_canonical/ref_0215.png,data/train_canonical/search_0215.png,467.32,604.1,38,10.513,7.52,15.03,2.29,0.28,0.81,587.3,131.9,0.0,0.0,1.088,1.056,467.5,477.5,126.60012796202066,0.221970796585083,True,4,468.0,612.0,7.929211814550022,0.053915977478027344,True
216,dram,data/train_canonical/ref_0216.png,data/train_canonical/search_0216.png,419.45,606.85,45,10.795,7.34,17.74,-0.47,0.42,0.46,494.8,151.5,0.0,0.0,0.926,1.1,419.5,473.5,133.35000937382796,0.2062680721282959,False,7,420.0,604.0,2.902585054740023,0.04844093322753906,True
217,dram,data/train_canonical/ref_0217.png,data/train_canonical/search_0217.png,405.75,441.12,43,9.922,4.22,14.7,-0.54,0.6,0.82,411.0,82.4,0.0,0.0,1.007,0.87,406.0,441.0,0.27730849247724293,0.1978466510772705,True,6,404.0,444.0,3.369999999999996,0.0443727970123291,True
218,finfet,data/train_canonical/ref_0218.png,data/train_canonical/search_0218.png,381.38,403.43,30,9.568,4.09,10.63,-1.33,0.3,0.75,337.4,178.3,0.321,0.0,0.937,1.025,522.5,403.5,141.12001736111003,0.20073819160461426,True,11,388.0,404.0,6.644493961168153,0.04300045967102051,True
219,finfet,data/train_canonical/ref_0219.png,data/train_canonical/search_0219.png,540.53,411.45,26,9.335,6.4,17.17,-0.14,0.51,0.53,479.7,185.6,0.475,0.0005,1.038,0.997,540.5,478.5,67.05000671140907,0.19610118865966797,True,7,540.0,412.0,0.7638062581571216,0.04021620750427246,True
220,finfet,data/train_canonical/ref_0220.png,data/train_canonical/search_0220.png,484.57,622.2,29,10.587,4.64,10.37,2.04,0.23,0.84,425.9,147.4,0.0,0.0,0.959,0.893,484.5,523.5,98.70002482269196,0.1967477798461914,True,5,484.0,628.0,5.827941317480768,0.0491640567779541,True
221,dram,data/train_canonical/ref_0221.png,data/train_canonical/search_0221.png,417.6,371.44,39,10.117,4.46,13.92,2.76,0.49,0.65,343.4,133.5,0.48,0.0,0.945,1.011,418.0,526.0,154.560517597477,0.19649744033813477,False,9,412.0,372.0,5.627930347827721,0.05426669120788574,True
222,dram,data/train_canonical/ref_0222.png,data/train_canonical/search_0222.png,574.86,485.93,44,10.109,6.46,10.77,1.83,0.42,0.83,544.4,108.6,0.0,0.0007,0.97,0.959,588.0,486.0,13.140186452254003,0.19700884819030762,True,9,588.0,484.0,13.280982644367835,0.05162358283996582,True
223,finfet,data/train_canonical/ref_0223.png,data/train_canonical/search_0223.png,368.41,455.65,21,10.282,7.35,12.23,0.22,0.45,0.64,589.1,173.0,0.0,0.0019,1.082,0.88,532.5,455.5,164.09006855992226,0.19933629035949707,True,8,372.0,460.0,5.640088651785539,0.042572021484375,True
224,finfet,data/train_canonical/ref_0224.png,data/train_canonical/search_0224.png,448.09,554.13,26,10.005,5.24,14.58,0.47,0.35,0.69,477.7,152.4,0.0,0.0028,0.958,1.011,448.0,483.0,71.13005693797805,0.19944524765014648,True,3,452.0,556.0,4.334166586553891,0.03886055946350098,True
225,finfet,data/train_canonical/ref_0225.png,data/train_canonical/search_0225.png,389.27,411.75,22,10.543,5.1,12.51,-1.82,0.34,0.56,476.5,141.8,0.0,0.0,0.93,1.106,495.5,411.5,106.23029417261351,0.19270777702331543,False,14,388.0,412.0,1.2943724348115397,0.040198326110839844,True
226,finfet,data/train_canonical/ref_0226.png,data/train_canonical/search_0226.png,459.72,400.07,20,9.371,7.46,11.05,1.25,0.59,0.66,344.8,97.5,0.0,0.0,0.934,0.955,459.5,527.5,127.43018990804337,0.20118355751037598,False,6,460.0,404.0,3.9399619287500784,0.04049277305603027,True
227,finfet,data/train_canonical/ref_0227.png,data/train_canonical/search_0227.png,499.82,400.41,28,10.834,6.33,11.93,1.01,0.59,0.55,358.5,112.9,0.0,0.0,1.014,1.021,499.5,400.5,0.33241540277187986,0.20682787895202637,True,7,500.0,404.0,3.5945097023098747,0.04520678520202637,True
228,dram,data/train_canonical/ref_0228.png,data/train_canonical/search_0228.png,612.52,525.46,37,10.143,5.57,16.91,-0.26,0.3,0.52,332.8,196.5,0.0,0.0,0.923,1.032,525.0,525.0,87.52120885819618,0.19848990440368652,False,7,612.0,524.0,1.5498387012847779,0.039768218994140625,True
229,dram,data/train_canonical/ref_0229.png,data/train_canonical/search_0229.png,600.67,516.08,45,9.043,5.38,12.23,2.19,0.22,0.56,593.8,175.3,0.448,0.0,0.909,0.928,556.5,516.5,44.17199678529369,0.2014307975769043,True,8,604.0,516.0,3.3309608223454505,0.04155683517456055,True
230,dram,data/train_canonical/ref_0230.png,data/train_canonical/search_0230.png,368.08,390.31,41,10.033,7.65,11.73,-2.33,0.23,0.51,308.5,95.8,0.0,0.0,1.024,0.964,569.5,531.5,245.97689424008917,0.2077028751373291,False,7,372.0,396.0,6.909594778277529,0.046906471252441406,True
231,dram,data/train_canonical/ref_0231.png,data/train_canonical/search_0231.png,438.82,518.29,45,9.387,5.78,12.74,-0.47,0.25,0.62,438.1,171.4,0.0,0.0,1.045,0.971,438.5,513.5,4.800677035585673,0.21166110038757324,False,7,692.0,388.0,284.73776795500805,0.049852609634399414,True
232,dram,data/train_canonical/ref_0232.png,data/train_canonical/search_0232.png,484.64,564.7,45,10.692,6.91,11.76,1.63,0.25,0.48,367.3,143.0,0.0,0.0,1.046,0.89,484.5,564.5,0.24413111231470347,0.19054579734802246,True,4,484.0,564.0,0.9484724561103745,0.047423601150512695,True
233,dram,data/train_canonical/ref_0233.png,data/train_canonical/search_0233.png,385.89,560.53,39,10.135,5.32,16.84,-0.74,0.54,0.85,540.6,158.1,0.399,0.0,1.022,1.059,513.0,561.0,127.11086892945073,0.19127488136291504,True,3,388.0,564.0,4.061157470475658,0.051255226135253906,True
234,finfet,data/train_canonical/ref_0234.png,data/train_canonical/search_0234.png,422.32,623.86,30,9.209,7.44,10.31,-2.43,0.34,0.64,383.0,182.6,0.0,0.0024,0.963,0.962,422.5,498.5,125.36012922775727,0.20220255851745605,False,9,420.0,628.0,4.745734927279425,0.04537773132324219,True
235,dram,data/train_canonical/ref_0235.png,data/train_canonical/search_0235.png,566.24,573.44,37,10.416,7.8,16.26,-0.12,0.4,0.4,423.4,186.9,0.0,0.0,1.06,0.897,566.5,573.5,0.26683328128250555,0.20116257667541504,True,8,564.0,572.0,2.662930716334955,0.04081892967224121,True
236,dram,data/train_canonical/ref_0236.png,data/train_canonical/search_0236.png,476.33,626.48,37,10.016,7.06,13.27,-2.34,0.22,0.83,354.8,110.0,0.0,0.0,1.001,0.975,476.0,490.0,136.48039895897142,0.20358705520629883,True,2,476.0,628.0,1.5554099138169122,0.046265602111816406,True
237,finfet,data/train_canonical/ref_0237.png,data/train_canonical/search_0237.png,467.16,554.79,25,10.373,6.65,17.12,-1.17,0.51,0.83,587.5,91.0,0.0,0.0,1.015,0.999,467.5,449.5,105.29054895858408,0.1884593963623047,True,6,468.0,556.0,1.4729901561110468,0.04307365417480469,True
238,dram,data/train_canonical/ref_0238.png,data/train_canonical/search_0238.png,476.92,388.59,37,10.767,6.0,11.23,0.78,0.39,0.72,378.2,188.5,0.346,0.0,1.043,0.994,476.5,484.5,95.91091960772769,0.22020673751831055,False,5,476.0,388.0,1.0929318368498557,0.0486912727355957,True
239,finfet,data/train_canonical/ref_0239.png,data/train_canonical/search_0239.png,433.95,369.01,27,9.07,6.87,15.17,-2.62,0.5,0.54,496.3,92.4,0.0,0.0,0.915,1.142,434.5,538.5,169.49089238068223,0.20855259895324707,False,10,436.0,764.0,394.9953197191076,0.046968936920166016,True
240,dram,data/train_canonical/ref_0240.png,data/train_canonical/search_0240.png,558.69,508.89,42,9.778,4.56,14.18,-1.98,0.26,0.72,578.3,86.6,0.0,0.0,1.007,0.949,559.0,509.0,0.3289376840679237,0.19621801376342773,True,6,564.0,508.0,5.384069093167304,0.04696941375732422,True
241,finfet,data/train_canonical/ref_0241.png,data/train_canonical/search_0241.png,623.3,540.22,24,9.22,5.57,15.57,2.26,0.29,0.7,552.7,184.3,0.0,0.0,1.066,0.872,468.5,540.5,154.80025322976698,0.18835091590881348,True,11,620.0,540.0,3.307325203241996,0.042962074279785156,True
242,finfet,data/train_canonical/ref_0242.png,data/train_canonical/search_0242.png,474.07,548.56,26,9.828,5.69,16.66,-0.3,0.24,0.62,509.3,137.3,0.0,0.0,0.946,1.132,474.0,464.0,84.56002897350491,0.20525598526000977,True,7,476.0,548.0,2.0096019506359872,0.03971743583679199,True
243,finfet,data/train_canonical/ref_0243.png,data/train_canonical/search_0243.png,393.22,546.15,30,9.488,4.49,11.7,-2.86,0.43,0.81,391.8,104.1,0.0,0.0,1.075,1.093,469.5,490.5,94.42224790800097,0.19539546966552734,True,15,396.0,548.0,3.3392963330617924,0.04616546630859375,True
244,dram,data/train_canonical/ref_0244.png,data/train_canonical/search_0244.png,556.35,390.95,36,10.653,6.45,11.31,-2.08,0.33,0.76,586.0,112.9,0.558,0.0,0.975,0.993,556.5,546.5,155.55007232399478,0.1740574836730957,True,5,556.0,396.0,5.06211418282916,0.051091909408569336,True
245,dram,data/train_canonical/ref_0245.png,data/train_canonical/search_0245.png,382.46,434.7,36,9.724,6.97,16.47,-0.95,0.42,0.72,348.1,97.8,0.0,0.0,1.017,0.937,571.5,434.5,189.0401057976852,0.21173930168151855,True,4,388.0,436.0,5.6904832835182155,0.04999732971191406,True
246,dram,data/train_canonical/ref_0246.png,data/train_canonical/search_0246.png,424.43,385.02,45,10.986,6.62,10.75,2.03,0.26,0.75,434.9,186.0,0.0,0.0,1.059,1.081,428.0,528.0,143.02456187662315,0.18875741958618164,False,3,428.0,380.0,6.159975649302501,0.049935340881347656,True
247,finfet,data/train_canonical/ref_0247.png,data/train_canonical/search_0247.png,470.18,619.05,23,9.464,6.53,12.84,0.84,0.23,0.51,455.2,109.2,0.497,0.0,0.907,0.942,470.5,454.5,164.5503111513314,0.2286367416381836,True,11,276.0,620.0,194.1823238608499,0.05087876319885254,True
248,finfet,data/train_canonical/ref_0248.png,data/train_canonical/search_0248.png,520.45,490.16,28,10.599,5.74,13.34,0.36,0.33,0.78,365.6,156.5,0.0,0.0,0.942,0.902,520.5,490.5,0.34365680554876027,0.17119383811950684,True,9,524.0,532.0,41.9903334113936,0.04385066032409668,True
249,dram,data/train_canonical/ref_0249.png,data/train_canonical/search_0249.png,431.41,611.88,38,9.564,5.05,10.36,-2.44,0.44,0.41,575.0,155.2,0.775,0.0,1.018,1.131,431.5,488.5,123.38003282541304,0.20313715934753418,False,7,436.0,612.0,4.591568359504166,0.049001216888427734,True
250,dram,data/train_canonical/ref_0250.png,data/train_canonical/search_0250.png,608.44,560.58,42,10.05,7.67,10.36,1.66,0.59,0.44,361.9,92.0,0.0,0.0,1.015,0.921,521.0,561.0,87.44100868585637,0.21674180030822754,True,8,612.0,564.0,4.936598018878925,0.05558657646179199,True
251,dram,data/train_canonical/ref_0251.png,data/train_canonical/search_0251.png,368.12,431.81,41,10.991,4.38,14.84,-1.22,0.47,0.64,426.2,162.7,0.793,0.0,1.046,0.942,438.5,431.5,70.38068271905296,0.2098100185394287,True,5,372.0,436.0,5.710560392816098,0.048085689544677734,True
252,dram,data/train_canonical/ref_0252.png,data/train_canonical/search_0252.png,545.57,564.05,43,9.036,7.8,14.6,-0.63,0.51,0.43,435.1,148.9,0.0,0.0,1.07,1.147,545.5,564.5,0.45541190146948063,0.1992654800415039,True,4,548.0,564.0,2.430514348856997,0.04081439971923828,True
253,finfet,data/train_canonical/ref_0253.png,data/train_canonical/search_0253.png,399.56,404.31,22,10.96,4.89,16.86,-2.82,0.59,0.9,414.2,96.6,0.0,0.0,1.09,0.937,399.5,404.5,0.19924858845171126,0.20090389251708984,True,10,396.0,404.0,3.5734717013011337,0.043375253677368164,True
254,finfet,data/train_canonical/ref_0254.png,data/train_canonical/search_0254.png,404.23,542.88,22,9.895,5.77,15.72,-2.91,0.51,0.41,514.5,138.7,0.457,0.0,1.049,1.111,404.0,543.0,0.25942243542147514,0.20345783233642578,True,11,412.0,540.0,8.286573477620271,0.04343247413635254,True
255,finfet,data/train_canonical/ref_0255.png,data/train_canonical/search_0255.png,404.6,411.33,28,10.393,7.07,11.24,-0.19,0.57,0.86,545.9,162.7,0.572,0.0008,1.073,1.048,404.5,526.5,115.17004341407537,0.20095038414001465,True,8,412.0,412.0,7.4302691741281945,0.04265475273132324,True
256,dram,data/train_canonical/ref_0256.png,data/train_canonical/search_0256.png,573.13,528.97,35,10.235,6.16,15.78,2.83,0.47,0.42,557.4,117.0,0.0,0.0,0.977,0.883,573.0,529.0,0.13341664064125278,0.20566630363464355,True,1,580.0,532.0,7.508515166129712,0.051398515701293945,True
257,dram,data/train_canonical/ref_0257.png,data/train_canonical/search_0257.png,373.1,496.96,40,10.407,5.84,17.27,-0.4,0.37,0.43,542.5,151.3,0.0,0.0,0.96,0.936,515.5,496.5,142.40074297558982,0.2034595012664795,False,3,372.0,500.0,3.2328934408668926,0.0427393913269043,True
258,dram,data/train_canonical/ref_0258.png,data/train_canonical/search_0258.png,413.3,633.52,44,9.809,4.9,12.21,2.2,0.49,0.5,442.4,142.4,0.0,0.0,1.044,0.957,418.0,400.0,233.56729308702447,0.2239675521850586,True,4,420.0,636.0,7.144256434367396,0.050347328186035156,True
259,finfet,data/train_canonical/ref_0259.png,data/train_canonical/search_0259.png,540.63,526.02,24,9.444,5.94,15.88,1.81,0.55,0.85,415.6,84.1,0.0,0.0,1.059,0.92,540.5,526.5,0.4972926703662706,0.21482181549072266,True,4,548.0,524.0,7.641812612201375,0.042500972747802734,True
260,dram,data/train_canonical/ref_0260.png,data/train_canonical/search_0260.png,431.95,401.0,42,10.661,5.99,14.21,-2.92,0.48,0.5,547.5,101.6,0.0,0.0025,0.902,1.052,510.5,401.5,78.55159132697442,0.2093350887298584,False,5,436.0,404.0,5.040089284923442,0.05250668525695801,True
261,finfet,data/train_canonical/ref_0261.png,data/train_canonical/search_0261.png,587.94,565.39,30,10.557,6.61,14.47,2.33,0.26,0.43,427.4,171.3,0.0,0.0023,1.059,1.134,587.5,445.5,119.8908074040708,0.20432496070861816,True,10,588.0,564.0,1.3912943613771873,0.042716026306152344,True
262,dram,data/train_canonical/ref_0262.png,data/train_canonical/search_0262.png,479.7,551.5,35,9.345,6.25,13.2,-1.05,0.46,0.51,544.9,186.0,0.0,0.0,1.031,1.084,479.5,551.5,0.19999999999998863,0.20792055130004883,True,5,484.0,300.0,251.53675675733754,0.04919123649597168,True
263,dram,data/train_canonical/ref_0263.png,data/train_canonical/search_0263.png,609.19,506.64,40,9.644,7.98,11.66,0.52,0.31,0.4,453.0,170.6,0.69,0.0,0.994,0.869,483.5,506.5,125.69007796958364,0.18978571891784668,True,5,612.0,508.0,3.1218103722038806,0.04835963249206543,True
264,finfet,data/train_canonical/ref_0264.png,data/train_canonical/search_0264.png,565.46,393.58,28,10.199,6.46,14.02,1.52,0.46,0.61,492.9,93.0,0.0,0.0005,0.951,0.927,566.0,496.0,102.42142354019497,0.16140365600585938,False,6,564.0,396.0,2.826305008310353,0.042423248291015625,True
265,finfet,data/train_canonical/ref_0265.png,data/train_canonical/search_0265.png,483.46,443.69,27,9.982,6.14,16.69,0.31,0.31,0.66,305.0,196.8,0.0,0.0,0.917,0.973,483.0,497.0,53.31198458133031,0.19264698028564453,True,7,484.0,636.0,192.31075814940775,0.04298830032348633,True
